Slide,Section,Title,Hook,Talking Points,Memorable Quote,Transition
1,I — Set Up,Title — Structured Credit Masterclass,"Welcome. Over the next 90 minutes we'll walk the entire credit migration pipeline.","43 slides organised in 8 acts • 4 interactive widgets and 4 checkpoint quizzes • Citations on every named example and case","You'll see how structured credit actually works — not the textbook version.","Let's start with the foundational rule that governs everything else."
2,I — Set Up,The Boomerang Rule (Axiom 01),Lending is fundamentally a collections business. Cash must return.,"Origination volume is vanity; recovery is sanity • No structuring cures structural default • 2008 NINJA loans • 2018 IL&FS • 2019 DHFL — same lesson every time • Every layer downstream depends on cash actually being collected","Cash must return. Everything else is plumbing.","Why does cash sometimes not return? Two reasons."
3,I — Set Up,Intent vs Ability — The Credit Faultline,Two failure modes — but only one is structurable.,"Intent failures = behavioural (fraud willful default deception) — structure CAN'T cure • Ability failures = mathematical (cycles shocks coverage) — structure CAN cure • IL&FS and DHFL were INTENT failures dressed up as ability paperwork • Origination integrity (KYC bureau Account Aggregator) holds the intent line","Structure addresses ability; nothing addresses bad intent.","Given we can only fix ability — what's our thesis?"
4,I — Set Up,The Core Thesis,One sentence: any credit risk is viable if structured properly.,"There is no universally good or bad asset class • Only structures that fit (or don't fit) the cash flow • Music royalties were unbankable until Bowie Bonds • SME revolving credit was exotic until master trust mechanics existed","The work of structured credit is building containment vessels — not declining atypical risk.","Compare standard credit to structured credit."
5,I — Set Up,Standard vs Structured (Bicycle vs Lunar Rover),Two completely different vehicles for completely different terrains.,"Standard corporate credit = rigid templates (EBITDA coverage debt/equity ratios) • Doesn't fit the box → declined • Structured = lunar rover custom-engineered for volatile cash flow terrains • Cost = complexity; reward = capital access otherwise locked out","Build the rover when the bicycle won't cross the terrain.","This idea is 2500 years old."
6,I — Set Up,Risk Pooling — Ancient Origins,Securitisation is not a Western invention.,"India's Srenis pooled maritime cargo risk ~8th century BCE • Hundis = early bills of exchange; Shahjog variant = early KYC restriction • Prussian Pfandbrief 1769 = first covered bond (Frederick II forced pooling of war-torn estates) • Three architectures still echo in every modern deal","What looks new on Wall Street is often ancient on the subcontinent.","Modern application — let's vote."
7,I — Set Up,IP Royalties Case (Interactive),A musician wants liquidity against future streams. Decline or structure?,"Audience votes — most groups decline initially • Reveal: Bowie Bonds 1997 $55M AAA placed with Prudential • Same blueprint: Hipgnosis Songs Fund £1Bn LSE listing (2018) • Rihanna catalog 2021; Bruce Springsteen $550M 2022; Justin Bieber $200M 2022 • Any predictable cash stream can be securitised","Decline is a structural failure of imagination.","Now let's see the architecture itself."
8,I — Set Up,The Credit Migration Pipeline,Every securitised deal walks five stations.,"Box 1: Origination — digital LOS underwriting • Box 2: Pooling — asset selection diversification math • Box 3: SPV — True Sale bankruptcy-remote trust • Box 4: Tranching — Senior/Mezz/Equity stack with credit enhancements • Box 5: Investors — capital deployed • Forward flow = risk migrating outward • Return flow = the boomerang back to originator's equity","Hold the map. Every slide that follows zooms into one box.","Box 1: Origination."
9,II — Foundation,The Source — LOS Hygiene,Garbage in equals garbage out mathematically guaranteed.,"Real-time GST and tax data pull • Bank statement analysis via Account Aggregator framework • Bureau review + director KYC + SARFAESI flag check • Human-in-the-loop catches what algorithms miss (circular ownership undisclosed litigation) • Aurionpro SmartLender and iCashpro are production examples","Flaws in origination compound through every downstream layer.","How do large credits get distributed in the first place?"
10,II — Foundation,Three Structural Formats,Three architectures for distributing large credit exposures.,"Syndicated lending = horizontal sharing among banks (tied to consortium balance sheet capacity) • Project Finance = ring-fenced single asset non-recourse SPV (highway power plant) • Securitisation = pool fragmentation → tradable institutional liabilities • Only securitisation converts thousands of ₹10L SME loans into a ₹500 Cr AAA","Securitisation is the only architecture that does true alchemy on credit.","What are the structural pillars?"
11,II — Foundation,The Core Engineering Pillars,Three pillars: Isolate Blend Slice.,"True Sale Isolation = legal severance from originator default • Asset Pooling = diversification math smoothing idiosyncratic volatility • Covenant Tranching = differentiated risk-reward layers from one pool • Each pillar serves a different institutional purpose","Isolate blend slice — in that order.","Now answer the central skeptic challenge."
12,II — Foundation,Why This Isn't Smoke & Mirrors (7 Mechanisms),"The skeptic asks: 'how can the same pool produce a better risk profile?'","Seven mechanisms — memorise them • (1) Bankruptcy Remoteness — True Sale severs investors from originator • (2) Eligibility Criteria — only good loans enter • (3) Waterfall — legally enforced cascade • (4) Note Classes — equity absorbs first • (5) Liquidity Facility / LOC — external standby for timing gaps • (6) Excess Spread Trap — auto-divert spread to reserve when performance dips • (7) LTV Ratchet — accelerate senior amortisation when collateral erodes • Every 'how does this improve risk?' answer is one of these seven","Always one of seven. Memorise them — they're your defence.","Now drill into Mechanism 1: legal isolation."
13,II — Foundation,The Legal Quarantine (Mechanism 1),If the bank goes down do investors lose?,"True Sale = the legal lobotomy • Originator's creditors have ZERO claim on SPV assets • SPV = orphaned trust with independent trustee • Indian backbone: SARFAESI for secured + IBC for unsecured strengthens enforcement • Risk: courts may re-characterise transfer as secured loan in weak jurisdictions","Legally severed = investor protection.","Legal sale isn't the whole story for CFOs."
14,II — Foundation,Risk Transfer Recognition (Accounting),CFO question: did the assets actually leave my balance sheet?,"Legal True Sale ≠ Accounting Derecognition (two separate tests) • IFRS 9 / Ind AS 109 = substantial-risks-and-rewards test + control test + continuing-involvement test • Most SRT and partial-transfer structures FAIL full derecognition because originator retains equity tranche • Three outcomes: Full Derecognition (rare) / Partial (common in SRT) / No Derecognition (secured-borrowing accounting) • Implication: capital relief may be partial not total","Legal isolation is necessary; accounting derecognition is the prize.","Now let's see what can be securitised."
15,III — Pool Design,Asset Class Taxonomy,The universe of securitisable assets.,"RMBS = granular predictable consumer-macro driven (HDFC pre-merger PTCs) • CMBS = lumpy concentrated single-default-shock risk • Auto ABS = granular short tenor residual value risk in leases • Credit Cards = revolving master trust (CRITICAL distinction: current flow vs future flow) • SME ABS = the hybrid commercial profile + consumer volume • Consumer/Personal = unsecured FICO-tiered front-loaded losses • Equipment Leasing = residual value risk (aircraft rail IT) • Distressed/NPL = ARC reconstruction at deep discount","Each class is a different terrain. Build the right rover.","What gets INTO the pool? Eligibility."
16,III — Pool Design,Eligibility Criteria (Mechanism 2),First line of defence. Applied before any loan sees a tranche.,"Borrower-level: FICO/CIBIL 700+ DTI cap 40-50% employment seasoning 12+ months bureau-clean KYC+AML • Loan-level: LTV cap 75-80% current status (no delinquency) seasoning (RBI MHP 3-12 months) max loan size maturity within stated tenor • Pool-level: geographic concentration <25% any state sectoral cap single-borrower ceiling weighted-average targets replenishment criteria • Post-IL&FS RBI's 2021 Master Direction codified all of this — closed the originate-to-distribute loophole","Only good loans get in. The first defence is at the gate.","Pool behavior depends on asset type."
17,III — Pool Design,Static vs Replenishing Pools,Pools either run off or recycle — different SPV engineering.,"Amortizing (auto loans mortgages) — balance steadily declines • Principal collections pass through to investors paying down bonds • Revolving (credit cards LOC) — short-term assets • Revolving Period: principal recycled to buy NEW loans pool size constant • End of revolving period → controlled amortisation phase • Cannot structure a credit card portfolio like a mortgage pool","Behavior dictates engineering — not the reverse.","Now who are all the players?"
18,III — Pool Design,The Ecosystem & Structural Friction,A securitisation has many specialised counterparties — each with misaligned incentives.,"Originator sells risk + walks with cash • Arranger structures for fees (incentive: close not perform) • Rating Agency (CRISIL ICRA in India) stamps the math — but PAID BY THE ARRANGER (structural 2008 conflict) • SPV = bankruptcy-remote trust • Trustee enforces covenants on behalf of investors • Servicer collects + handles defaults • Investors fund tranches • Each role necessary; each conflicted","Every role is necessary. Every role is conflicted.","When the pool breaks who acts?"
19,III — Pool Design,Servicers — Master/Primary vs Special/Workout,SPV is a legal ghost. Servicers do all the actual work.,"Master/Primary Servicer = routine administration • Collects monthly payments manages escrows passes cash to SPV • The 'good weather' operator • Special/Workout Servicer = covenants breached or defaulted • Authority to restructure debt extend maturity force liquidation • In India: ARCs operate under SARFAESI for secured + IBC for unsecured • US CMBS uses 'Master/Special'; broader market often 'Primary/Special'","The SPV can't seize a factory. The servicer can.","Now let's stack the tranching tower."
20,IV — Structuring,The Tranching Tower (Mechanism 4),One pool → three institutional securities.,"Senior AAA = steel vault highest priority designed to survive 99.9% stress year • Mezzanine BBB = middle priority shock absorber • Equity (First Loss) = lowest priority highest yield — originator retains as RBI MRR (5-10% skin-in-the-game) • Different yields different investors same pool • Pension funds buy Senior; hedge funds buy Equity; regional banks buy Mezzanine","Same milk. Different bottles. Different prices.","How do we make a B-rated pool produce a AAA tranche?"
21,IV — Structuring,Manufacturing AAA — Credit Enhancements (Mechanism 5),Stack the enhancements until senior is AAA.,"Internal mechanics: Subordination (the tower itself) + Overcollateralization (₹90 Cr debt against ₹100 Cr assets — ₹10 Cr cushion) + Excess Spread (12% yield - 7% coupon = 5% margin) + Reserve Accounts (cash trapped upfront) • External guarantees: Monoline Insurance + Corporate Guarantees (CAUTION: dilutes true sale) + Letters of Credit + Liquidity Facilities • Each layer pushes senior higher up the rating spectrum","Stack the cushions. The senior holder never feels the ground.","Static buffers absorb. Dynamic triggers re-route."
22,IV — Structuring,Dynamic Performance Triggers (Mechanisms 6 & 7),Structures that self-correct across the cycle.,"Excess Spread Trap (Mech 6): when delinquencies cross threshold (e.g. 90+ DPD >5%) excess spread is TRAPPED in reserve instead of releasing to originator's equity • Originator loses carry the moment performance dips — aligned incentive • LTV Ratchet (Mech 7): when weighted-average LTV breaches threshold waterfall RATCHETS UP — more cash diverted to senior amortisation starving mezz/equity • Other dynamic triggers: Early Amortisation Events Servicer Termination Cash-Trapping","Static absorbs. Dynamic re-routes. Both required.","Let's see the waterfall mechanics."
23,IV — Structuring,The Cash Flow Waterfall (Mechanism 3),Like a tiered champagne tower — legally enforced.,"Senior glass fills FIRST then mezz then equity • Insufficient cash → bottom glasses stay dry • Subordination is LEGALLY ENFORCEABLE not contractual preference • Pay equity before senior = Event of Default → special servicer takeover trustee replacement potential • Real deals have many lines: trustee fees servicer fees swap counterparty reserve top-ups","Top glass first. Always. Forever.","Try it yourself — volunteer please."
24,IV — Structuring,Waterfall Tycoon (Live Lab),"₹100M in. Senior owed ₹80M Mezz ₹15M Equity = residual. Distribute.","Invite a volunteer • DELIBERATELY try Pay Equity first → COVENANT BREACH banner • Use Reset between attempts • Correct order: Senior (80) → Mezz (15) → Equity (5 residual) • Excess spread = the residual that compensates originator for retained risk • Core principle never changes regardless of deal complexity","If you got 80-15-5 you've internalised the waterfall.","Let's size buffers with real numbers."
25,IV — Structuring,Worked Example — Subordination Math,"₹1000 Cr SME pool. PD 3% LGD 45%. Size the AAA tranche.","Expected Loss = PD × LGD = 1.35% • Apply Basel ASRF at 99.9% confidence ρ = 0.04 (retail SME correlation) • Stress loss ~11.5% — roughly 8.5× EL • Equity 4.5% (₹45 Cr ~3.3× EL cushion) • Mezzanine BBB 7% (₹70 Cr absorbs UL spike) • Senior AAA 88.5% (₹885 Cr survives 1-in-1000 stress year) • This is the math regulators actually run","Senior survives a 1-in-1000 stress year. That's the AAA bar.","But what if the inputs are garbage?"
26,V — Risk Math,The NINJA Illusion + India's Equivalents,Mathematically pristine waterfall means nothing if inputs are fraudulent.,"2008 NINJA = No Income No Job No Assets — securitised into AAA via stated-income origination • Structures worked exactly as designed; inputs were fraudulent • India's equivalents are more visceral • IL&FS 2018: ~₹91000 Cr default cascaded through MFs PFs banks • DHFL 2019: India's first NBFC resolved under IBC (Cobrapost alleged fictitious loans) • YES Bank 2020: ~₹8415 Cr AT1 written to zero • Lesson identical: structure enhances ability cannot cure intent","Pristine paper hollow collections.","The math itself failed too — let's see how."
27,V — Risk Math,The Correlation Trap,Li's Gaussian Copula — the formula that killed Wall Street.,"David X. Li 2000 — workhorse formula for pricing CDOs through 2008 • Assumed default correlation static well-behaved estimated from historical data • Flaw: under severe systemic stress correlation snaps non-linearly to 1.0 • Diversification evaporates — supposedly diversified pools concentrate into single catastrophic loss • Felix Salmon 2009 Wired 'Recipe for Disaster' • India 2018 NBFC crisis showed same dynamic","When the boat tips every passenger leans the same way.","How does the regulator size capital?"
28,V — Risk Math,Basel ASRF Framework,Asymptotic Single Risk Factor — what regulators actually run.,"Vasicek formula formalised by Gordy 2003 • Models loss distribution under one systematic risk factor • Basel II/III IRB approach uses this for regulatory capital • 99.9% confidence interval = 1-in-1000 stress year • Don't teach the math — point at it (audience trusts you more for not drilling) • RBI follows Basel broadly; specific PTC weights in Sept 2021 Master Direction","This is what the regulator runs. Trust the curve.","Now let's stress test live."
29,V — Risk Math,War Room — Macro Shock Simulator (Live Lab),Dial in macro inputs and watch tail loss against the capital stack.,"Audience suggests inputs — high engagement moment • Three dials: unemployment rate shock asset correlation ρ • Structural input: equity buffer thickness • Try ρ=0.85 with unemployment at 12% — even thick equity won't save you • SENIOR BREACHED banner = the gasp moment WAIT for it • Correlation has the most dramatic effect (multiplicative term in tail loss formula)","Correlation does what no other variable does — it breaks the model multiplicatively.","Why do banks even do all of this?"
30,VI — Strategy,ALM — The Maturity Mismatch,"Borrow short lend long. The structural insolvency of banking.","20-year mortgages funded by demand deposits = structural duration mismatch defining commercial banking • Securitisation = ALM medicine: instantly converts illiquid long assets → liquid cash • Eliminates duration risk; frees capital to redeploy • Indian NBFCs 2018: funded long-term project loans with short-term CP • Post-IL&FS CP markets froze → couldn't roll → duration mismatch became insolvency","Securitisation is ALM medicine.","And it frees regulatory capital."
31,VI — Strategy,Risk-Weighted Assets (RWA) Relief,"₹1000 Cr at 100% RWA forces ~₹80 Cr Tier 1 capital locked.","Sell senior tranche to external investors → 0% bank RWA on sold portion • Retain equity tranche at 1250% RWA but on much smaller notional • Net effect: capital freed for new lending • Economic exposure to tail risk contained in retained equity • ROE leaps • Every tier-1 bank globally runs an active securitisation programme for this exact reason","Free capital. Same yield. Same client.","Now the architectural choice: cash or synthetic?"
32,VI — Strategy,Cash vs Synthetic — The Choice,Two architectures for the same goal — risk transfer.,"CASH (Full): assets sold to bankruptcy-remote SPV — investor cash funds purchase • Delivers FUNDING + capital relief; legal true sale + accounting derecognition possible • Workhorse for India today • SYNTHETIC: assets STAY on bank balance sheet — credit risk transferred via Credit Default Swap • Delivers CAPITAL RELIEF ONLY (no funding); workhorse for EU/US tier-1 banks via SRT • India: synthetic largely prohibited — partial economic effects via PTC + Direct Assignment","Funding or capital? That's the architectural question.","Let's see synthetic in detail."
33,VI — Strategy,Synthetic Securitisation,Move risk without moving cash.,"Bank keeps loans on balance sheet • Enters Credit Default Swap with counterparty: bank pays CDS premium → counterparty pays out on losses • Economically: bank sheds credit risk • Legally: assets never moved • Workhorse for European banks pre-2008 • Under current RBI rules: largely prohibited for Indian originators • Deliberate post-2008 design choice — avoid the CDS-CDO contagion dynamics","Same risk transfer no cash movement more complexity.","How does India regulate all of this?"
34,VI — Strategy,The Indian Regulatory Lens,Among the most thoughtful global regulatory architectures.,"RBI Master Direction Sept 2021: MHP (3-12 months) MRR (5-10% retained) STC framework eligibility criteria • Synthetic securitisation + re-securitisations PROHIBITED for most regulated entities • Enforcement: SARFAESI (secured collateral seizure) + IBC (unsecured corporate resolution) + SEBI (PTC listing and trustee rules) • Post-IL&FS DHFL trustee accountability tightened materially • Built deliberately to prevent 2008 dynamics","India learned from 2008. The rulebook reflects it.","Theory meets practice."
35,VII — Cases,Indian Case Studies,"Three institutions three eras three problems being solved.","HDFC PTC Programme (pre-2023): decades of monthly mortgage PTC issuances by HDFC Ltd. pre-merger • Granular pools standardised tranching deep secondary market — Indian RMBS template • IIFL/Piramal/SBI (2021-25): post-Master-Direction era SME-loan PTCs and Direct Assignments • Tighter MRR/MHP enforcement narrower eligibility — the regulatory rebirth • Edelweiss/JM Financial ARC: NPL aggregation at deep discount; Security Receipts; resolution via SARFAESI IBC settlement restructure","Same machine three institutional purposes.","How do global banks game capital optimisation?"
36,VII — Cases,Significant Risk Transfer (SRT),The Holy Grail for tier-1 banks today.,"Bank doesn't need funding (has all the deposits it wants) — needs to free regulatory capital • Synthesizes mezzanine/equity portion via Credit Linked Note (CLN) • Sells to institutional investors: pension funds hedge funds sovereign wealth • Bank retains prime assets + client relationship + senior yield • Investors take tail risk for high coupon • EU + US SRT issuance crossed $25Bn in 2024 • India not yet — synthetic SRT not permitted","Maximum ROE. Minimum balance sheet.","Post-2008 global rules."
37,VII — Cases,The STS Framework,Post-2008 mandate to prevent another meltdown.,"EU Regulation 2017/2402: Simple Transparent Standardised • Simple = homogeneous pools no re-securitisations (CDO-squared) • Transparent = loan-level historical data to investors no opaque NINJA collateral • Standardised = enforceable 5% retention originator must keep material economic interest • India's RBI Master Direction mirrors via STC criteria • Universal principles even where jurisdictional details differ","Simple transparent standardised — three words that rebuilt confidence.","Where is all this going?"
38,VII — Cases,Tokenization of RWAs,Smart contracts replacing trustees.,"Cash flow waterfall = immutable function not 500-page legal document • When SME makes payment smart contract instantly routes fractions to Senior/Mezz/Equity wallets • Live institutional protocols: Maple (institutional lending) Centrifuge (RWA collateral MakerDAO counterparty) Goldfinch (EM SME credit) Ondo Finance (tokenized US Treasuries $1B+ TVL by 2024) • India: RBI wholesale CBDC pilot Nov 2022 + retail Dec 2022 • Within a decade: trustees + paying agents = code","The 500-page indenture becomes 500 lines of code.","Take-home reference."
39,VIII — Reference,Glossary,Canonical structured credit vocabulary.,"18 terms covering the working vocabulary of any structured credit practitioner • SPV PTC DA SRT CDS/CLN OC PD/LGD/EAD EL/UL RWA ASRF MRR/MHP STC/STS RMBS/CMBS ALM LOS SARFAESI IBC RWA on-chain • Cmd+K to search across the entire deck for any term","Your structured credit dictionary.","Going deeper?"
40,VIII — Reference,Recommended Reading,Foundational + India-specific + critical perspectives.,"Foundational: Fabozzi & Kothari (canonical text) Vinod Kothari (India-specific depth) Mark Adelson (CDOs) BIS papers (Basel IRB) • India: RBI Master Directions Sept 2021 SEBI listing norms for SDIs case histories (IL&FS DHFL YES Bank AT1) • Critical/Forward: Felix Salmon Wired piece on Li's copula • Gary Gorton 'Slapped by the Invisible Hand' • ICRA/CRISIL annual Indian securitisation reports","Three books three perspectives lifetime of depth.","Quick intro — your trainer."
41,VIII — Reference,About the Trainer,Brief background.,"Ajay Surana — Co-founder Augury Insights • CRO Infrarisk (an Aurionpro Company) • 30+ years across treasury structured finance credit risk leadership • Augury = training arm bespoke simulations gamification AI tools • Infrarisk/Aurionpro = lending + treasury technology stack in production at Indian and global banks","Half the day was structuring; the other half is technology.","Stay in touch."
42,VIII — Reference,Follow & Connect,Three places to find us.,"Augury Insights (training arm) — auguryinsights.com + LinkedIn /company/auguryinsights • Aurionpro (technology partner) — aurionpro.com + LinkedIn /company/aurionpro • Ajay personally — LinkedIn /in/ajaysurana (PRIMARY contact channel) • If this masterclass was useful: share on LinkedIn + tag us → helps more risk practitioners find the work","Tag us so more risk practitioners find this.","Final word."
43,VIII — Reference,Masterclass Complete,Mapped the full pipeline end-to-end.,"From digital SME origination → bankruptcy-remote SPV → tranching & waterfall mechanics → credit enhancements → Basel ASRF math → India's regulatory perimeter → synthetic SRT → tokenization horizon • Never forget the boomerang • If valuable connect with Augury Aurionpro or Ajay","Never forget the boomerang.","—"
